name,description,price,quantity,category
iPhone 15 Pro,Latest Apple smartphone with titanium design,999.99,50,Electronics
Samsung Galaxy S24,Flagship Android phone with AI features,899.99,75,Electronics
MacBook Air M3,Lightweight laptop with M3 chip,1199.99,25,Computers
Dell XPS 13,Premium ultrabook for professionals,1099.99,30,Computers
Sony WH-1000XM5,Noise-canceling wireless headphones,399.99,100,Audio
AirPods Pro 2,Apple's premium wireless earbuds,249.99,150,Audio
Nike Air Max 270,Comfortable running shoes,129.99,200,Footwear
Adidas Ultraboost 22,High-performance running shoes,189.99,150,Footwear
Levi's 501 Jeans,Classic straight-leg denim jeans,79.99,300,Clothing
Nike Dri-FIT T-Shirt,Moisture-wicking athletic shirt,29.99,500,Clothing
